가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
세창당한약방,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 칠연로 33-1,,,,,2025-01-20
풍년제분공장,무주사랑상품권,전북특별자치도,무주군,,전북특별자치도 무주군 무풍면 현내리 216-1,,,,2025-01-20
무주시장(김성자),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
그안펜션,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1048-23,,,,,2025-01-20
덕유산업,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 215,,,,,2025-01-20
폴몬트 2호점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 라제통문로 276,,,,,2025-01-20
무주시장(정순복),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주시장(라옥자),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주민속탁주주조장,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한수로 37-8,,,,,2025-01-20
영흥상회,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 307-1,,,,,2025-01-20
하란영화관,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1582,,,,,2025-01-20
무주지역자활센터 크린세상,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 276,,,,,2025-01-20
무주지역자활센터 OK세차장,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 276,,,,,2025-01-20
늘푸른식당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 칠연로 529,,,,,2025-01-20
신전떡볶이 무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 118  1층 101호,,,,,2025-01-20
무주반디농자재,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 적천로 269-1  2층,,,,,2025-01-20
큐버블티,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 향학로 66,,,,,2025-01-20
주야공업사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면  라제통문로 785-5,,,,,2025-01-20
비쥬헤어,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 102,,,,,2025-01-20
아임일리터 무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 향학로 34,,,,,2025-01-20
굽네치킨,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1050,,,,,2025-01-20
삼성건강원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1576,,,,,2025-01-20
무주위생공사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 적천로 285,,,,,2025-01-20
시장건강원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 264,,,,,2025-01-20
