"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"심할머니 안흥찐빵, 만두 고창읍점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 고인돌대로 1740,,,,,2023-07-10
"이삭토스트전북고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 242,,,,,2023-07-10
"못난이찹쌀꽈배기",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 43,,,,,2023-07-10
"김창숙의류",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 188,,,,,2023-07-10
"블루홍헤어샵",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 108,,,,,2023-07-10
S&S 뷰티 헤어??,고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 272,,,,,2023-07-10
"등나무숨",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 245,,,,,2023-07-10
"엘르이너웨어",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 208,,,,,2023-07-10
"로또마트",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 92,,,,,2023-07-10
"청춘닭꼬치&닭강정",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 시장길 27,,,,,2023-07-10
"오토존썬팅샵",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산로 47,,,,,2023-07-10
"체크",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 15,,,,,2023-07-10
"미용재료 해오름",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 15,,,,,2023-07-10
"명륜진사갈비 고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡6길 20,,,,,2023-07-10
60계 치킨 전북고창점,고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산로 28,,,,,2023-07-10
"올포유 고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 167,,,,,2023-07-10
"피자스쿨 고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 230,,,,,2023-07-10
"해뜰날 회포차",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산1길 12,,,,,2023-07-10
"야옹아 멍멍해봐",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡로 5,,,,,2023-07-10
"헤어스케치",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정10길 8,,,,,2023-07-10
"별 카페",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산3길 15,,,,,2023-07-10
"우성사료고창대리점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 67,,,,,2023-07-10
"박유진헤어필",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 240,,,,,2023-07-10
0301 컴퓨터크리닝,고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡15길 2,,,,,2023-07-10
